architect_id,source_file,architect_name,birth_place,country,latitude,longitude,birth_year,death_year,slide_count,notes
ug-525792-slides,UG-525792 slides.pptx,Ruth Rivera Marin,Mexico City,Mexico,19.42847,-99.12766,1927,1969,4,Slides feature Regional Artisan's Museum and Cultural Center; Anahuacalli Museum; Cuadernos de Arquitectura. Commonly styled Ruth Rivera Marin or Ruth Rivera Marin de Rodriguez.
ug-525855-slides,UG-525855 slides.pptx,Anna Wagner Keichline,"Bellefonte, Pennsylvania",United States,40.9134862,-77.7737471,1889,1943,4,Slides feature Bald Eagle and Nittany Valley Presbyterian Church; Farrell House; Components for Kitchen Construction.
ug-525857-slides,UG-525857 slides.pdf,Elsie de Wolfe,"New York City, New York",United States,40.7143,-74.006,1865,1950,4,"Slides feature The Colony Club; The Irving House; Villa Trianon. Better known as an interior designer/decorator, but included in the class deck."
ug-525866-slides,UG-525866 slides.pdf,Tao Ho,Shanghai,China,31.2222,121.4581,1936,2019,4,Slides feature Hong Kong Arts Centre; St. Stephen's College Redevelopment; Hong Kong Waterfront Development.
ug-525879-slides,UG-525879 slides.pptx,Liang Sicheng,Tokyo,Japan,35.6895,139.6917,1901,1972,3,Slides feature Restoration Plan of Liuhe Pagoda; Nanjing Central Museum; Liang-Cheng Proposal. Born in Tokyo while his father was posted in Japan.
ug-525883-slides,UG-525883 slides.pptx,John Gaw Meem,Pelotas,Brazil,-31.76997,-52.34101,1894,1983,4,Slides feature Restoration of San Esteban del Rey; Colorado Springs Fine Arts Center; Zimmerman Library.
ug-526067-slides,UG-526067 slides.pptx,Norma Merrick Sklarek,"Harlem, New York City, New York",United States,40.8078786,-73.9454154,1926,2012,4,Slides feature The Commons Mall and Courthouse Center; Pacific Design Center; LAX Terminal 1.
ug-526086-slides,UG-526086 slides.pdf,Tadao Ando,"Minato-ku, Osaka",Japan,34.683056,135.452306,1941,,5,Slides feature Church of the Light; Rokko Housing; Chichu Art Museum.
ug-526378-slides,UG-526378 slides.pptx,Hassan Fathy,Alexandria,Egypt,31.20176,29.91582,1900,1989,4,Slides feature New Gourna; New Baris Village; Akil Sami House.
ug-526847-slides,UG-526847 slides.pptx,Friedl Dicker-Brandeis,Vienna,Austria,48.208,16.372,1898,1944,4,Slides feature Tennis Club for Dr. Hans Heller; Montessori Kindergarten at Goethehof; Reisner House extension. Born in Vienna when it was part of Austria-Hungary.
ug-527498-slides,UG-527498 slides.pdf,Lilly Reich,Berlin,Germany,52.5244,13.4105,1885,1947,4,Slides feature Barcelona Pavilion; Barcelona Chair; Velvet and Silk Cafe.
ug-527964-slides,UG-527964 slides.pdf,Muzharul Islam,Murshidabad,India,24.1839,88.27171,1923,2012,4,"Slides feature Faculty of Fine Arts, Jahangirnagar University, and Chittagong University. Born in Murshidabad in British India; mapped to present-day India."
ug-529610-slides,UG-529610 slides.pptx,Natalie Griffin de Blois,"Paterson, New Jersey",United States,40.914745,-74.162827,1921,2013,4,Slides feature Lever House; Pepsi-Cola Headquarters; Connecticut General Life Insurance Company Headquarters.
